ticker,data_date,sector,industry,open,high,low,close,volume,frequency,nbss,nbsf
KEJU,2023-12-22,Consumer Non-Cyclicals,Processed Foods,1140.00,1140.00,1140.00,1140.00,11600,8,12198000,0
KETR,2023-12-22,Infrastructures,Telecommunication Service,226.00,244.00,224.00,226.00,1535100,209,-47578600,39946800
KIAS,2023-12-22,Industrials,Building Products & Fixtures,14.00,15.00,14.00,15.00,1088000,12,10273500,0
KICI,2023-12-22,Consumer Cyclicals,Household Goods,137.00,137.00,134.00,137.00,10200,7,-738900,0
KIJA,2023-12-22,Properties & Real Estate,Real Estate Management & Development,130.00,130.00,127.00,130.00,70388400,408,-8121387008,305054592
KING,2023-12-22,Industrials,Professional Services,103.00,105.00,102.00,105.00,1347700,67,-85861200,0
KINO,2023-12-22,Consumer Non-Cyclicals,Personal Care Products,1275.00,1295.00,1255.00,1260.00,36200,53,-26602500,1380500
KIOS,2023-12-22,Technology,Online Applications & Services,51.00,51.00,50.00,51.00,776900,38,-36289600,0
KJEN,2023-12-22,Transportation & Logistic,Logistics & Deliveries,83.00,86.00,80.00,85.00,1408400,205,2149400,13204600
KKES,2023-12-22,Basic Materials,Chemicals,50.00,50.00,50.00,50.00,300,3,15000,0
KKGI,2023-12-22,Energy,Coal,362.00,368.00,362.00,368.00,932700,234,86491400,-20770000
KLAS,2023-12-22,Transportation & Logistic,Logistics & Deliveries,80.00,92.00,80.00,84.00,6759200,667,-402690816,16889800
KLBF,2023-12-22,Healthcare,Pharmaceuticals,1605.00,1620.00,1585.00,1585.00,24334200,3814,-7569740288,-12107770880
KLIN,2023-12-22,Consumer Cyclicals,Specialty Retail,30.00,30.00,28.00,29.00,147100,43,887100,0
KMDS,2023-12-22,Consumer Non-Cyclicals,Food & Staples Retailing,420.00,432.00,402.00,428.00,355100,113,-139366000,0
KMTR,2023-12-22,Basic Materials,Forestry & Paper,274.00,284.00,274.00,278.00,2100,6,-24200,0
KOBX,2023-12-22,Industrials,Machinery,149.00,160.00,149.00,156.00,102500,40,7471400,0
